sexe,medii_de_rezidenta,macroregiuni,ani,numar_persoane,valoare
Total, Total, TOTAL, Anul 1998, Numar persoane, 22526093
Total, Total, TOTAL, Anul 1999, Numar persoane, 22488595
Total, Total, TOTAL, Anul 2000, Numar persoane, 22455485
Total, Total, TOTAL, Anul 2001, Numar persoane, 22430457
Total, Total, TOTAL, Anul 2002, Numar persoane, 21833483
Total, Total, TOTAL, Anul 2003, Numar persoane, 21772774
Total, Total, TOTAL, Anul 2004, Numar persoane, 21711252
Total, Total, TOTAL, Anul 2005, Numar persoane, 21658528
Total, Total, TOTAL, Anul 2006, Numar persoane, 21610213
Total, Total, TOTAL, Anul 2007, Numar persoane, 21565119
Total, Total, TOTAL, Anul 2008, Numar persoane, 21528627
Total, Total, TOTAL, Anul 2009, Numar persoane, 21498616
Total, Total, TOTAL, Anul 2010, Numar persoane, 21462186
Total, Total, TOTAL, Anul 2011, Numar persoane, 21413815
Total, Total, TOTAL, Anul 2012, Numar persoane, 21355849
Total, Total, TOTAL, Anul 2013, Numar persoane, 21305097